--------------------------------------------------
Marvellous Infosystem Process Log
Log file is created at : Wed Jun 18 08:55:58 2025
--------------------------------------------------
{'name': 'RuntimeBroker.exe', 'pid': 3896, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.46484375} 
{'name': 'svchost.exe', 'pid': 3948, 'username': None, 'vms': 1.76953125} 
{'name': 'AsusAppService.exe', 'pid': 4192, 'username': None, 'vms': 5.58984375} 
{'name': 'svchost.exe', 'pid': 4316, 'username': None, 'vms': 2.65234375} 
{'name': 'MpDefenderCoreService.exe', 'pid': 4336, 'username': None, 'vms': 13.29296875} 
{'name': 'svchost.exe', 'pid': 4364, 'username': None, 'vms': 7.30859375} 
{'name': 'msedgewebview2.exe', 'pid': 4376, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 41.2734375} 
{'name': 'AsusOptimization.exe', 'pid': 4392, 'username': None, 'vms': 2.97265625} 
{'name': 'svchost.exe', 'pid': 4400, 'username': None, 'vms': 3.75} 
{'name': 'Code.exe', 'pid': 4564, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 117.890625} 
{'name': 'spoolsv.exe', 'pid': 4600, 'username': None, 'vms': 9.6640625} 
{'name': 'powershell.exe', 'pid': 4648, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 55.56640625} 
{'name': 'svchost.exe', 'pid': 4668, 'username': None, 'vms': 15.2734375} 
{'name': 'AsusOptimizationStartupTask.exe', 'pid': 4800, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 4.296875} 
{'name': 'svchost.exe', 'pid': 4836, 'username': None, 'vms': 1.796875} 
{'name': 'svchost.exe', 'pid': 4888, 'username': None, 'vms': 14.1015625} 
{'name': 'NVDisplay.Container.exe', 'pid': 4908, 'username': None, 'vms': 33.83203125} 
{'name': 'svchost.exe', 'pid': 4948, 'username': None, 'vms': 3.19921875} 
{'name': 'svchost.exe', 'pid': 4972, 'username': None, 'vms': 2.12109375} 
{'name': 'svchost.exe', 'pid': 5088, 'username': None, 'vms': 1.578125} 
{'name': 'AggregatorHost.exe', 'pid': 5112, 'username': None, 'vms': 4.23046875} 
{'name': 'AsusProArtUpdateService.exe', 'pid': 5124, 'username': None, 'vms': 9.484375} 
{'name': 'AsusProArtService.exe', 'pid': 5132, 'username': None, 'vms': 4.953125} 
{'name': 'AsusDialService.exe', 'pid': 5140, 'username': None, 'vms': 3.49609375} 
{'name': 'AsusSystemAnalysis.exe', 'pid': 5152, 'username': None, 'vms': 6.04296875} 
{'name': 'AsusSystemDiagnosis.exe', 'pid': 5160, 'username': None, 'vms': 6.84375} 
{'name': 'AsusSoftwareManager.exe', 'pid': 5168, 'username': None, 'vms': 6.17578125} 
{'name': 'DAX3API.exe', 'pid': 5176, 'username': None, 'vms': 7.44921875} 
{'name': 'AsusSwitch.exe', 'pid': 5184, 'username': None, 'vms': 2.61328125} 
{'name': 'GlideXNearService.exe', 'pid': 5196, 'username': None, 'vms': 2.69140625} 
{'name': 'svchost.exe', 'pid': 5204, 'username': None, 'vms': 31.32421875} 
{'name': 'svchost.exe', 'pid': 5212, 'username': None, 'vms': 30.6875} 
{'name': 'wlanext.exe', 'pid': 5220, 'username': None, 'vms': 3.02734375} 
{'name': 'svchost.exe', 'pid': 5228, 'username': None, 'vms': 13.9921875} 
